"","ale","county_name","state_abbr","population_size","population_density","poverty","age_19_under","age_19_64","age_65_84","age_85_and_over","white","black","native_american","asian","hispanic","all_death","health_status","unhealthy_days","no_exercise","few_fruit_veg","obesity","high_blood_pres","smoker","diabetes","uninsured","elderly_medicare","disabled_medicare","prim_care_phys_rate","dentist_rate","no_hs_diploma","unemployed","sev_work_disabled","major_depression","recent_drug_use"
"258",77.6,"Delta","CO",29947,26,13.2,23.2,57.3,16.4,3.1,97.1,0.6,0.9,0.4,12.5,792.7,14.1,4.9,24.5,75.8,17.8,26.9,21.8,7.4,5244,5537,690,66.8,36.7,4127,735,863,2204,2272
"259",75.9,"Denver","CO",557917,3638,15.1,25.4,63.7,9,1.9,82.9,10.6,1.4,3.3,34.2,854.2,17.2,6,22.8,76.1,16.2,20.8,21.1,5.2,101192,57936,11503,194.1,78,79178,18207,14836,39765,40390
"260",74.8,"Dolores","CO",1827,2,12.1,22.6,60.4,14.3,2.7,96.4,0.1,2.8,0.5,6.8,875.6,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,349,308,62,54.7,0,309,66,50,135,134
"261",80.3,"Douglas","CO",249416,297,2.2,30,65.3,4.4,0.4,92.8,1.5,0.5,3.5,6.4,684.1,4.2,4.1,11.4,77.7,11.4,15.6,8.9,4,27847,6043,731,58.9,20.4,4687,4893,4688,16762,18328
"262",81.3,"Eagle","CO",47530,28,6.4,24.7,71.5,3.5,0.2,97.3,0.6,0.6,1,26.9,476.6,7.6,4.5,15,71.9,13.8,15.5,14.2,0.5,7789,1456,164,92.6,35.8,4315,1098,1255,3419,3523
"263",80.3,"Elbert","CO",22788,12,5.5,26.9,66,6.5,0.6,96.4,0.7,0.8,0.6,5.1,766.5,14.8,5.8,21.1,-1111.1,9.8,12.4,19.3,2.1,2823,1234,198,0,17.6,1120,542,468,1604,1761
"264",78.2,"El Paso","CO",565582,266,10.4,28.6,62.4,8,1.1,85.8,6.7,1,3.2,12.2,820.5,11.3,5.9,17.1,78.1,18,18.9,20.2,4,71691,47283,8166,55.5,59.6,30721,15354,8859,38849,44109
"265",76.4,"Fremont","CO",47766,31,14,20.2,64.6,13.1,2.1,91.3,5.3,1.3,0.7,10.4,915.6,14.5,6.3,20.9,79.3,15.1,23.5,25.6,4.8,6693,6614,1287,52.3,27.2,6694,1172,1375,3646,3712
"266",78.1,"Garfield","CO",49810,17,8.5,28.3,63,7.9,0.8,96.9,0.7,0.7,0.6,22.4,842.6,13.8,5.6,8.7,70.2,11.6,20.4,20.1,5.5,6788,3926,579,68.3,46.2,4650,1110,1201,3427,3708
"267",81.3,"Gilpin","CO",4932,33,5.8,20.4,72.8,6.4,0.4,96.4,0.9,0.6,1.3,4.6,758.3,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,534,154,48,0,0,213,162,129,375,357
"268",81.3,"Grand","CO",13211,7,7.6,21.4,69.9,8.1,0.6,97.5,0.6,0.6,0.8,5,719.4,5.2,4.8,-1111.1,-1111.1,9.9,-1111.1,20.3,1.1,1874,1026,107,60.6,53,728,350,332,992,984
