"","ale","county_name","state_abbr","population_size","population_density","poverty","age_19_under","age_19_64","age_65_84","age_85_and_over","white","black","native_american","asian","hispanic","all_death","health_status","unhealthy_days","no_exercise","few_fruit_veg","obesity","high_blood_pres","smoker","diabetes","prim_care_phys_rate","dentist_rate","community_health_center_ind","hpsa_ind","uninsured","elderly_medicare","disabled_medicare","no_hs_diploma","unemployed","sev_work_disabled","major_depression","recent_drug_use"
"838",79,"Jones","IA",20509,36,8.8,21.5,62.8,13.1,2.6,97.1,2,0.3,0.2,1.4,727.1,15.4,5.8,20.6,NA,19.2,22,21.1,5.2,14.6,39,1,1,0.0728460675800868,0.15207957482081,0.0147740016578088,0.10302793895363,0.0264761811887464,0.0161392559364182,0.0586571748988249,0.0376420108245161
"839",79.6,"Keokuk","IA",11157,19,10,23.5,57.5,14.9,4.1,99.3,0.1,0.1,0.3,0.6,750.3,13.3,5.3,25.5,84.3,NA,NA,16.5,11.8,0,26.9,1,0,0.100833557407905,0.208389351976338,0.0216007887424935,0.111051357891906,0.0268889486421081,0.02653042932688,0.0571838307788832,0.0356726718651967
"840",78.4,"Kossuth","IA",16142,17,9.1,22.6,56.8,16.9,3.7,99.1,0.2,0.2,0.4,1,747.6,13.6,4.7,27.8,75.2,22.5,23.1,18.9,4.3,31,55.8,1,1,0.0873497707842894,0.205117085862966,0.0173460537727667,0.101660265146822,0.0242844752818734,0.0172221533886755,0.0579853797546772,0.0358072110023541
"841",76.7,"Lee","IA",36705,71,11.2,22.8,60.7,13.8,2.7,95.1,3.1,0.2,0.6,2.5,871.2,17.1,6.8,27.8,85.3,23.2,22.1,30.2,8.8,68.1,40.9,0,1,0.101648276801526,0.158779457839531,0.0245198201879853,0.11655087862689,0.0342460155292195,0.0156654406756573,0.0577305544203787,0.0347636561776325
"842",79.3,"Linn","IA",198903,277,7.8,25.2,62.3,10.6,2,93.7,3,0.2,1.6,1.5,728.6,9.9,4.9,19.9,81.9,21.5,23.5,20.7,6.2,76.4,53.3,1,1,0.0641015972609765,0.122813632775775,0.0163999537462984,0.0632871299075429,0.0266461541555432,0.0144844471928528,0.0559770340316637,0.0360929699401216
"843",79.6,"Louisa","IA",11842,29,8.9,25.8,59.2,12.7,2.3,99,0.3,0.1,0.4,14.1,793.2,16,7.2,28.6,84,NA,NA,23.9,6.9,8.4,16.9,1,0,0.120756628947813,0.141361256544503,0.0178179361594325,0.137983448741767,0.0260091200810674,0.0197601756460057,0.0555649383550076,0.0347914203681811
"844",76.9,"Lucas","IA",9672,22,11.6,23.3,58.5,14.4,3.8,99,0.2,0.1,0.5,0.9,786.3,21,6.1,NA,NA,NA,NA,NA,10.7,20.7,31,0,1,0.0911910669975186,0.183519437551696,0.0223325062034739,0.145471464019851,0.0275020678246485,0.0190239867659222,0.0573821339950372,0.0362903225806452
"845",81.3,"Lyon","IA",11750,20,7.3,26.1,56.5,14,3.5,99.1,0.3,0.1,0.2,0.5,708,6.9,3.6,21.7,79.8,17.6,25.1,18.5,4.8,17,25.5,1,1,0.0754893617021277,0.174723404255319,0.0120851063829787,0.142297872340426,0.017531914893617,0.014468085106383,0.0554042553191489,0.0360851063829787
"846",78,"Madison","IA",15158,27,6.8,24.8,61.4,11.2,2.5,98.9,0.2,0.3,0.2,0.8,846.2,10.3,6.1,28.1,79.4,26.1,20.1,20.3,3.8,6.6,19.8,1,1,0.0660377358490566,0.129568544662884,0.0160311386726481,0.0841139992083388,0.0260588468135638,0.0158332233803932,0.0562739147644808,0.0360865549544795
"847",79,"Mahaska","IA",22364,39,10.5,24.3,60.2,12.5,2.9,96.9,0.9,0.2,1.2,1.3,755.8,10.5,5.4,30.5,88.5,20.5,24.5,22.3,5.1,62.6,22.4,1,1,0.0743605795027723,0.153103201573958,0.0194061885172599,0.116124128062958,0.0243248077267036,0.0187354677159721,0.0566535503487748,0.0377839384725452
"848",78.5,"Marion","IA",32984,60,7.8,24.2,60.1,12.9,2.9,97.9,0.5,0.2,1,1.1,773.3,13.9,4.4,25.4,81.4,22.7,28,25.8,7.2,54.6,42.4,1,1,0.0508731506184817,0.147647344166869,0.0220106718408926,0.106809362114965,0.02243512005821,0.018948581130245,0.0569063788503517,0.0387460586951249
"849",76.1,"Marshall","IA",39418,69,10.6,24.6,59.3,13.6,2.5,96.4,1.2,0.5,1,12.6,976.6,11.1,4.8,28.7,81.5,27.9,25.4,25.9,6.9,55.8,48.2,0,1,0.114972855040844,0.158759957379877,0.0217667055659851,0.120376477751281,0.0271956973971282,0.0183672433913441,0.0563448170886397,0.0355421381094931
"850",76.4,"Mills","IA",15284,35,8.3,24.6,63.5,10,1.9,98.7,0.4,0.2,0.3,2.2,881.4,16.4,5.3,22.5,75.6,22.6,26.2,29.5,6,45.8,26.2,1,1,0.0609133734624444,0.119798482072756,0.0374901858152316,0.113713687516357,0.0234886155456687,0.0306202564773619,0.0564642763674431,0.0367704789322167
"851",79.2,"Mitchell","IA",10919,23,8.7,24.5,54.6,16.5,4.5,99.5,0.2,0.1,0.2,0.6,727.2,19.1,4,22.3,NA,20.6,28.5,19.3,4.6,18.3,36.6,1,0,0.0858137192050554,0.214580089751809,0.0166681930579723,0.107427420093415,0.0221632017584028,0.0136459382727356,0.0565985896144336,0.0354428061177764
"852",77.5,"Monona","IA",9520,14,10.4,21.1,55.9,18,4.9,98.6,0.1,0.9,0.1,0.8,861.4,16,4,NA,85.3,NA,NA,23.2,10,52.5,52.5,1,1,0.10703781512605,0.220693277310924,0.0220588235294118,0.133088235294118,0.0304621848739496,0.017436974789916,0.0588235294117647,0.0346638655462185
"853",76.9,"Monroe","IA",7835,18,10.1,23.7,57.4,15.7,3.2,98.8,0.3,0.4,0.4,0.5,857.6,NA,5.6,NA,NA,NA,NA,NA,11.1,12.8,25.5,0,1,0.0911295469049138,0.180089342693044,0.0247606892150606,0.124058710912572,0.027185705169113,0.018761965539247,0.0570516911295469,0.0353541799617103
"854",77,"Montgomery","IA",11313,27,10.1,23.6,57.4,15.1,4,98.9,0.2,0.4,0.3,2.4,871.4,17.9,7,30.8,83.5,29.1,33.3,26,13.2,53,44.2,1,1,0.0995315124193406,0.194112967382657,0.0276672854238487,0.129408644921771,0.0246618933969769,0.0159992928489349,0.0571908423937064,0.0336780694775922
"855",78.4,"Muscatine","IA",42756,97,9.5,25.5,61.9,10.8,1.8,96.9,1.2,0.3,1,13.1,862.1,12.3,5,26.7,82.9,25.6,23.2,22.8,5.7,42.1,39.8,1,1,0.112358499391898,0.128987744410141,0.0211432313593414,0.131396763027411,0.0233885302647582,0.0191785948171017,0.0557114790906539,0.0362288333801104
"856",79.3,"O'Brien","IA",14414,25,7.8,22,55.9,18,4.2,98.8,0.3,0.2,0.6,1.8,738,6.1,2.7,24.1,82.8,25.7,25.8,23.3,3.7,48.6,34.7,1,1,0.0656306368808103,0.217705009019009,0.0226862772304704,0.135909532399056,0.0218537532954072,0.0164423477174969,0.0582766754544193,0.0360066601914805
"857",79.3,"Osceola","IA",6694,17,6.8,23.7,57.5,15.6,3.2,98.9,0.3,0.4,0.2,3.2,790.6,9.9,4.4,NA,88.9,NA,NA,NA,13.3,29.9,14.9,1,1,0.0975500448162534,0.191216014341201,0.0146399760979982,0.132506722438004,0.0225575141918136,0.0158350761876307,0.0572154167911563,0.0352554526441589
"858",77,"Page","IA",16253,30,11.4,21.5,59.4,15.8,3.3,96.1,2,0.5,0.8,1.8,865.8,11.9,4.7,27.8,79.8,24.5,30.5,28.3,5.1,67.7,61.5,1,1,0.0853996185319633,0.196456038885129,0.026641235464222,0.103242478311696,0.0210422691195472,0.013905125207654,0.0586968559650526,0.0364855718944195
"859",78.4,"Palo Alto","IA",9697,17,9,23.1,55.7,16.9,4.4,99.2,0.1,0.1,0.3,0.8,826.2,13,3.8,NA,87.3,NA,NA,21.4,8.7,30.9,20.6,1,1,0.0949778281942869,0.217489945343921,0.0220686810353718,0.111168402598742,0.0225843044240487,0.0208311849025472,0.0576466948540786,0.0379498814066206
"860",78.5,"Plymouth","IA",24958,29,6.4,25.1,59.3,12.8,2.8,98.5,0.3,0.2,0.4,1.9,766,9.4,4.5,21.6,85.4,20.3,21.1,21.2,7.5,48.1,40.1,1,1,0.0643080375030051,0.152776664796859,0.015425915538104,0.0843817613590833,0.0217164836926036,0.0194727141597884,0.0561343056334642,0.0369420626652777
"861",79.2,"Pocahontas","IA",7930,14,9.6,21.9,55.5,17.8,4.8,99,0.3,0.2,0.4,1.2,773.3,6.5,2.8,NA,NA,NA,NA,20.3,1.7,25.2,50.4,1,0,0.0871374527112232,0.240353089533417,0.0200504413619168,0.096469104665826,0.0225725094577554,0.0150063051702396,0.0586380832282472,0.0353089533417402
"862",77.9,"Polk","IA",401006,704,8.6,25.8,63.3,9.2,1.7,90.3,4.9,0.3,3.1,5.6,782.5,10.5,5.1,21.3,82.8,22.8,21.8,24,6.5,74.3,53.1,0,1,0.0856221602669287,0.103761539727585,0.0172840306628828,0.0780487075006359,0.0247677092113335,0.0130471863263891,0.0554829603547079,0.0357126826032528
"863",76.1,"Pottawattamie","IA",89738,94,10.2,24.9,61.5,11.7,1.9,96.9,1,0.4,0.7,4.1,920.1,14.9,6,26.3,82.5,26.8,28,28,8.3,51.3,34.5,0,1,0.0982972653725289,0.134714390782054,0.0242595110209722,0.108059016247298,0.0292406784193987,0.0222090975952216,0.0561746417348281,0.0363056898972565
"864",78.5,"Poweshiek","IA",18925,32,9,22.5,60,14.2,3.4,97.5,0.6,0.3,1.1,1.4,799.3,13.1,5.3,23.5,79.4,26,33.8,23,7.3,79.3,42.3,1,1,0.0692734478203435,0.172575957727873,0.017331571994716,0.0879260237780713,0.0263143989431968,0.015112285336856,0.0582298546895641,0.0413738441215324
"865",77.8,"Ringgold","IA",5273,10,12.4,22.1,54.5,19.4,3.9,99.3,0.1,0.2,0.3,0.6,820.1,11.8,3.6,NA,NA,NA,NA,11.4,8.1,19,19,0,1,0.128769201593021,0.208989190214299,0.0206713445856249,0.121752323155699,0.0225677982173336,0.0208609899487958,0.0582211264934572,0.0352740375497819
"866",78.5,"Sac","IA",10621,18,9,22,55.1,18,4.8,98.8,0.4,0.1,0.3,1.2,803.8,9.7,4.5,28,81.2,23.8,26.1,22,4.9,37.7,37.7,1,0,0.107146219753319,0.231710761698522,0.0181715469353168,0.111853874399774,0.0234441201393466,0.0217493644666227,0.0582807645231146,0.035778175313059
"867",77.3,"Scott","IA",160998,352,10.3,25.5,62.4,10.4,1.8,89.9,6.2,0.3,1.9,4.4,846.5,10.2,5,20.1,81.3,20.5,23.7,23.7,6.9,72.1,55.9,0,1,0.0961378402216177,0.117535621560516,0.0195406154113716,0.0905725536963192,0.0263978434514714,0.017652393197431,0.0557957241704866,0.0370501496913005
"868",78.9,"Shelby","IA",12634,21,7.8,23.1,56.2,16.9,3.8,98.9,0.2,0.3,0.4,0.9,755.2,12.4,4.7,22.9,78.7,26,29,15.4,2.7,39.6,31.7,1,1,0.0781225265157511,0.195899952509102,0.0195504195029286,0.0937945227164793,0.0227164793414596,0.0149596327370587,0.0575431375653,0.0356973246794364
"869",81.3,"Sioux","IA",32277,42,6.5,27.4,57.9,12.1,2.6,98.4,0.4,0.1,0.8,4.9,642.5,9.5,3.3,21.5,83.5,17.6,16.5,15.8,4.3,49.6,34.1,1,1,0.0727452985097748,0.145800415156303,0.0114632710598878,0.116584564860427,0.0180314155590668,0.0119589800786938,0.0548378102054094,0.0436223936549246
"870",81,"Story","IA",79952,140,9.8,21,68.5,8.6,1.9,91.2,1.9,0.2,5.6,1.8,663.8,6.9,3.9,14.8,79.9,17.2,15.5,16.2,4.5,75,37.5,1,1,0.0705673404042425,0.10217380428257,0.0106438863317991,0.0356588953372023,0.0190989593756254,0.0156218731238743,0.0594981989193516,0.0568090854512708
"871",78.5,"Tama","IA",17919,25,8.9,25,56.7,14.7,3.6,92,0.5,6.4,0.2,4.3,794.2,12.4,4.2,22.8,80.1,25.6,23.9,23.3,5.2,27.9,33.5,1,0,0.102516881522406,0.182097215246387,0.0154026452368994,0.106590769574195,0.0301356102461075,0.0229365477984263,0.0561415257547854,0.0359395055527652
"872",77.8,"Taylor","IA",6614,12,10.7,22.3,55.6,17.2,4.9,99.3,0,0.1,0.4,3.9,766.1,13.5,5.4,29,85.8,27.3,26.2,26.2,10.6,0,30.2,1,0,0.14439068642274,0.219685515573027,0.021469609918355,0.120048382219534,0.0211672210462655,0.0188993045055942,0.0580586634411854,0.0346235258542486
"873",77.7,"Union","IA",11972,28,11.1,22.7,58.3,15.5,3.5,98.8,0.3,0.1,0.4,1.1,857.6,15.6,5.1,23.8,78.2,28,28.1,24.9,7.9,41.8,41.8,1,1,0.0917975275643167,0.193284330103575,0.0278984296692282,0.0910457734714333,0.0283995990644838,0.0179585699966589,0.0578850651520214,0.0343301035750084
"874",78,"Van Buren","IA",7786,16,11.2,22.4,58.3,15.4,3.9,99.1,0,0.1,0.4,0.8,865,20.1,7.8,NA,NA,NA,13.3,NA,10.6,12.8,12.8,1,1,0.110326226560493,0.205368610326227,0.0260724377087079,0.121756999743129,0.0270999229386078,0.0209350115592088,0.0580529154893398,0.0360904187002312
"875",77.1,"Wapello","IA",35965,83,12.2,23.5,59.8,13.8,3,96.9,1.4,0.4,0.7,7.1,840.2,21.1,6.5,27.6,79.8,24.8,27.2,23.9,6.2,89,44.5,0,1,0.110718754344502,0.169164465452523,0.0336994300013902,0.126789934658696,0.031530654803281,0.0192131238704296,0.057194494647574,0.0366745446962325
"876",78.8,"Warren","IA",42981,75,6,24.5,63.2,10.7,1.6,98.1,0.4,0.2,0.6,1.3,813.9,11.1,5.2,21.1,81.7,26,26.8,20.4,6.1,16.3,25.6,1,1,0.0648891370605616,0.106116656196924,0.014401712384542,0.0658430469277122,0.022568111491124,0.0134710686117122,0.0565598752937344,0.0390637723645332
"877",79.6,"Washington","IA",21457,38,7.7,24.7,58.3,13.8,3.2,98.6,0.5,0.2,0.3,3.8,742.2,8.4,5.4,22.4,82.7,25.3,23.4,21.8,4.2,46.6,37.3,1,1,0.0934893041897749,0.172903947429743,0.017523418930885,0.119588013235774,0.0233956284662348,0.0139348464370602,0.0562520389616442,0.0352332572120986
"878",76.9,"Wayne","IA",6601,13,12.5,22.1,55.2,17.9,4.7,98.9,0,0.1,0.5,0.8,872.2,18.7,5.9,NA,NA,NA,NA,NA,12,30.3,15.1,0,1,0.127556430843812,0.230116648992577,0.0248447204968944,0.114376609604605,0.02363278291168,0.0245417361005908,0.0581730040902894,0.0354491743675201
"879",77.5,"Webster","IA",39003,55,10.8,24.6,58.8,13.8,2.8,93.8,3.8,0.4,1,2.8,848.5,16.3,4.5,28.2,83,26,31.5,24.4,9.8,48.7,59,0,1,0.0982488526523601,0.169525421121452,0.0276901776786401,0.105299592339051,0.023690485347281,0.0189216214137374,0.0566110299207753,0.0381765505217547
"880",78.9,"Winnebago","IA",11351,28,8.3,23,58.4,14.6,4,98.3,0.2,0.3,0.8,2.3,764.6,9.4,3.9,18.2,76.4,25.6,23.8,15.7,7.7,35.2,61.7,1,1,0.079728658267994,0.199982380407013,0.017355299092591,0.088362258831821,0.0257246057616069,0.0144480662496696,0.0577922649986785,0.0370892432384812
"881",80.8,"Winneshiek","IA",21234,31,7.8,22.4,61.7,12.9,3.1,98.1,0.7,0.1,0.9,1,677,9.2,2.7,29.3,78.3,19.5,19.2,13.4,4.6,75.4,47.1,1,1,0.0606103419044928,0.149854007723462,0.0130922106056325,0.0996515023076198,0.0260431383630027,0.0137044362814354,0.0584910991805595,0.0461523970989922
"882",77.3,"Woodbury","IA",102605,118,11.2,27.7,59.5,10.6,2.2,91.6,2.3,1.9,2.5,10.9,837.5,10.9,5,26.1,82.9,23,23.9,28.6,4.6,67.2,43.9,0,1,0.127791043321476,0.130471224599191,0.0223380926855416,0.11957506944106,0.0281370303591443,0.0290824033916476,0.0541883923785391,0.0363627503532966
"883",77.8,"Worth","IA",7768,19,7.2,22.1,59.5,14.9,3.5,99.3,0.3,0,0.2,1.8,811.3,14.4,3.1,25.1,NA,23.7,22.9,17.7,8.1,38.6,25.7,1,1,0.0715756951596292,0.173274974253347,0.0162203913491246,0.100411946446962,0.0296086508753862,0.0274201853759011,0.0581874356333677,0.0347579814624099
"884",78.6,"Wright","IA",13647,24,8.3,23.1,56.5,16.2,4.2,98.9,0.2,0.3,0.3,7.1,775.7,10.9,5,29,81.2,19.3,25.2,25.7,6.4,36.6,51.3,1,1,0.0962848977797318,0.210742287682274,0.0200776727485894,0.109474609804353,0.0244009672455485,0.0143621308712538,0.057448523485015,0.0349527368652451
"885",76.4,"Allen","KS",13787,27,13.9,24.7,57.8,14.4,3,95.4,2,1,0.3,2.2,908.4,14.8,5.9,33.1,NA,27.8,NA,26.6,8.2,14.5,43.5,1,1,0.12997751505041,0.174439689562631,0.0267643432218757,0.114020454050918,0.0286501777036339,0.0292304344672518,0.063175455138899,0.049757017480235
"886",76.7,"Anderson","KS",8182,14,12.2,25,55.8,15.5,3.7,98,0.3,0.8,0.3,1.1,846.4,23.9,6.4,35.3,NA,25.5,NA,21.4,10.7,36.7,12.2,1,1,0.143119041799071,0.198484478122708,0.0196773405035444,0.123075042776827,0.0289660229772672,0.0189440234661452,0.0629430457100953,0.0483989244683452
"887",77,"Atchison","KS",16804,39,11.8,26.1,58,13.2,2.8,92.2,5.7,0.5,0.4,2,870.2,19.4,6.1,28.8,81.6,25.4,NA,21.6,9.3,47.6,41.7,1,1,0.101047369673887,0.153475363008807,0.0213639609616758,0.0959295405855749,0.0286241371102119,0.0136277076886456,0.0621875743870507,0.0549273982385146
"888",77.4,"Barber","KS",4958,4,11.3,21.5,57.3,17.5,3.7,98.3,0.5,0.7,0.1,2.1,921.2,12.1,4.5,NA,NA,14.6,NA,18,3.4,20.2,40.3,1,1,0.139169019766035,0.221258572004841,0.0280354981847519,0.099838644614764,0.0195643404598628,0.0165389269866882,0.0657523194836628,0.0502218636546995
"889",77.9,"Barton","KS",28105,31,12.4,25.5,57,14.4,3.1,96.5,1.6,0.5,0.4,10.4,812.8,15.9,4.6,26.5,80.8,27,31.4,22.9,8.2,64,42.7,0,1,0.131898238747554,0.170361145703611,0.0187155310442982,0.118021704323074,0.0212417719267034,0.011385874399573,0.062586728340153,0.0495641344956413
"890",76.4,"Bourbon","KS",14997,24,14.3,25.4,57.6,13.7,3.3,94.4,3.4,0.7,0.4,1.4,928.6,24.1,7.2,31.9,NA,21.2,24.8,24.2,7.6,66.7,33.3,1,1,0.136160565446423,0.172834566913383,0.0287390811495632,0.104154164166167,0.0296059211842368,0.0204707608188304,0.0625458425018337,0.0504100820164033
"891",77,"Brown","KS",10239,18,12.8,24.9,56.3,14.6,4.3,88.3,2.1,7.3,0.5,2.4,849.3,15.1,5.8,31.9,82.1,24.9,NA,26.7,9.4,97.7,29.3,1,1,0.138294755347202,0.188299638636586,0.0255884363707393,0.103330403359703,0.0269557573981834,0.0176775075690985,0.062896767262428,0.0485398964742651
"892",77.7,"Butler","KS",62354,44,8.4,26.4,61.2,10.7,1.7,95.5,1.6,0.9,0.6,2.6,855.9,13.1,5.5,22.8,81.3,25.7,21.1,21.7,6.7,51.3,22.5,1,1,0.0927125765788883,0.114715976521153,0.0152195528755172,0.0825448247105238,0.0283542354941143,0.016005388587741,0.0618564967764698,0.0512878083202361
"893",78.4,"Chase","KS",3081,4,10.4,24.5,57.8,14.4,3.3,97.6,1.3,0.6,0.2,3,929.2,8,3.5,NA,NA,NA,NA,NA,6.1,0,0,0,0,0.123985718922428,0.15968841285297,0.0175267770204479,0.0866601752677702,0.0233690360272639,0.0165530671859786,0.0632911392405063,0.0483609217786433
"894",75.6,"Chautauqua","KS",4109,6,13.8,21.2,54.5,19.5,4.7,94.8,0.4,3.6,0,1.7,872.7,NA,NA,NA,NA,NA,NA,NA,14.9,24.3,0,1,0,0.152348503285471,0.206132879045997,0.0360184959844244,0.133609150644926,0.0253102944755415,0.0184959844244342,0.0659527865660745,0.050620588951083
"895",75.3,"Cherokee","KS",21555,37,14.5,25.5,59.1,13,2.4,92.7,0.8,3.4,0.4,1.3,986,18.2,5.7,31.5,86.3,25.9,NA,23.7,7.6,13.9,23.2,0,1,0.14395731848759,0.147483182556251,0.0311296682904199,0.133101368591974,0.0339132451867316,0.0290883785664579,0.0623985154256553,0.0478311296682904
"896",78.1,"Cheyenne","KS",2946,3,9.8,21.2,53.3,19.7,5.8,99.2,0.1,0,0.4,4.3,709.9,15.5,4.5,NA,NA,NA,NA,12.9,10.4,33.9,67.9,1,0,0.195519348268839,0.254243041412084,0.0173116089613035,0.104887983706721,0.0234215885947047,0.0149355057705363,0.0658520027155465,0.0471826205023761
"897",78.2,"Clark","KS",2283,2,10.6,23.7,53.9,17.6,4.8,98,0.3,1.2,0.4,5.3,808.1,11.9,4.2,NA,NA,NA,NA,NA,7.9,131.4,43.8,1,1,0.134034165571616,0.219448094612352,0.0162067455102935,0.0871660096364433,0.0183968462549277,0.0122645641699518,0.0639509417433202,0.0477441962330267
"898",77.3,"Clay","KS",8629,13,10.4,22,57.8,15.7,4.5,97.9,0.8,0.5,0.2,1,775.5,12.1,5.5,29.9,NA,29,NA,19.1,6.7,92.7,11.6,1,1,0.110093869509793,0.197589523699154,0.0194692316606791,0.0908564144165025,0.0230617684552092,0.0173832425541778,0.0652451037200139,0.0497160737049484
"899",78.7,"Cloud","KS",9759,14,11.4,22.7,55.4,17.3,4.6,98.4,0.4,0.2,0.5,0.9,812.4,13,4.4,25.3,83.7,20.7,NA,19.6,9.5,41,20.5,1,1,0.111486832667281,0.224305769033712,0.0253099702838406,0.0985756737370632,0.0216210677323496,0.0119889332923455,0.0649656727123681,0.052156983297469
"900",76.7,"Coffey","KS",8683,14,9.1,24,60.7,12.4,2.9,97.9,0.3,0.4,0.6,1.8,833.4,11,4.2,16.2,82.9,23.8,NA,17,6.7,34.6,23,1,1,0.110330530922492,0.157318898998042,0.0180813083035817,0.0886790279857192,0.033859265230911,0.0165841299090176,0.0635724979845675,0.0496372221582402
"901",78.2,"Comanche","KS",1935,2,9.5,20.6,55,19.6,4.8,98.9,0,0.2,0.7,2.1,843.5,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0.128682170542636,0.232041343669251,0.0222222222222222,0.0635658914728682,0.0149870801033592,0.013953488372093,0.0661498708010336,0.0459948320413437
"902",75.6,"Cowley","KS",35298,31,13.4,26.1,58.7,12.5,2.7,91.6,3.3,1.8,1.7,5.9,972.9,14.4,5.1,32.8,82.6,29.2,30.4,23.4,8.4,59.5,48.2,1,1,0.123066462689104,0.15386140857839,0.0249872514023457,0.0943679528585189,0.0284152076604907,0.0163465352144597,0.0620998356847413,0.0517309762592781
"903",75.9,"Crawford","KS",38222,64,15.2,23.8,61.5,11.6,3.2,93.4,2.1,1,1.9,3.1,938.8,15.9,6.1,23.8,81.2,23.6,24.1,24.8,7,60.2,49.7,0,1,0.131259484066768,0.143320600701167,0.0265030610643085,0.0965674219036157,0.0293024959447439,0.015593113913453,0.0638637433938569,0.0581078959761394
"904",78.3,"Decatur","KS",3191,4,10.9,20.9,52.8,21.3,5,98.8,0.7,0,0.3,1.7,832.1,8.1,4.9,NA,NA,NA,NA,NA,4.5,94,31.3,1,1,0.173299905985584,0.265120651833281,0.0181761203384519,0.0984017549357568,0.0178627389533062,0.0560952679410843,0.0661234722657474,0.0476339705421498
"905",77.3,"Dickinson","KS",19209,23,9.2,23.7,58,15.2,3,97.3,0.9,0.4,0.3,3.3,851.7,14.5,5.7,29.2,78.4,27,28.9,23.8,5.8,46.9,41.6,1,1,0.0995887344473945,0.18350773075121,0.0198865115310532,0.0935498984850851,0.0247800510177521,0.0183247436097663,0.0639283669113436,0.048987453797699
"906",77,"Doniphan","KS",7816,20,11.5,26,58.4,13,2.6,94.8,2.6,1.4,0.4,2,832.2,16.8,5.2,31.9,NA,29.6,NA,21.7,9.1,25.6,0,0,0,0.107727737973388,0.158776867963153,0.0171443193449335,0.130373592630502,0.0359518935516888,0.0158648925281474,0.0624360286591607,0.051560900716479
"907",79.3,"Douglas","KS",102914,225,12.4,22.4,69.1,7.3,1.2,87.5,4.1,2.1,3.8,3.6,772.6,8.4,4.9,19.3,79.6,17,14.9,19.2,3.6,74.8,42.8,1,1,0.110227957323591,0.0793866723672192,0.0135744407952271,0.0428415958956022,0.0244573138737198,0.0104067473813087,0.0653263890238451,0.0707872592650174
"908",78.2,"Edwards","KS",3292,5,11,24,56,16.1,3.9,98.4,0.4,0.6,0.5,14,942,17.4,3.9,NA,NA,NA,NA,13.1,8.9,30.4,30.4,1,0,0.163122721749696,0.207168894289186,0.0151883353584447,0.129708383961118,0.0185297691373026,0.0121506682867558,0.0637910085054678,0.0473876063183475
"909",75.6,"Elk","KS",3075,5,14.9,19.9,56.4,19.3,4.5,97.1,0.2,1,0.3,2.3,900.3,NA,NA,NA,NA,NA,NA,NA,9.8,0,0,1,0,0.203252032520325,0.224390243902439,0.0295934959349594,0.145691056910569,0.0256910569105691,0.0279674796747967,0.0669918699186992,0.0491056910569106
"910",78.9,"Ellis","KS",26767,30,10.6,22.5,63.2,12.1,2.2,96.9,1,0.2,1.2,2.5,770.3,10.2,4.2,21.3,81.2,17.2,15.4,20.1,5,48.6,59.8,1,1,0.0978070011581425,0.138977098666268,0.0181566854709157,0.0789778458549707,0.021593753502447,0.0125901296372399,0.0650427765532185,0.0613815519109351
"911",77.4,"Ellsworth","KS",6343,9,9.3,18.7,61.8,15.8,3.7,94.9,4,0.5,0.3,3.9,800.1,NA,4.9,22.5,NA,21.7,NA,12.2,4.9,31.5,31.5,1,1,0.0996373955541542,0.179883335960902,0.0157654106889484,0.109884912501971,0.020810342109412,0.0182878763991802,0.0679489200693678,0.0513952388459719
"912",77.5,"Finney","KS",38988,30,13.2,34.8,57.4,6.7,1,93.9,1.3,1.1,2.8,41.7,821.8,12.6,4,36.3,84,23.1,25.1,20.8,5.5,41,25.6,0,1,0.200548886836975,0.0796398891966759,0.0128757566430697,0.186801066994973,0.021493792961937,0.0131065969016108,0.054965630450395,0.0484764542936288
"913",76.4,"Ford","KS",33751,31,11.8,32.3,57.6,8.6,1.5,94.3,2.1,0.6,2.2,45.9,918.7,11.7,3.5,27.9,83,24.9,23,18.2,5.9,74.1,32.6,0,1,0.169446831205001,0.0944860893010577,0.0121477882136826,0.177861396699357,0.0186068560931528,0.0143106870907529,0.0568872033421232,0.0495392729104323
"914",76.1,"Franklin","KS",26247,46,9.9,25.9,60.5,11.3,2.2,95.7,1.4,0.9,0.6,2.9,869.6,17.2,5.3,28.4,82.1,27.2,35,23.5,5.5,30.5,15.2,1,1,0.106602659351545,0.13136739436888,0.0235074484703014,0.0957061759439174,0.0301367775364804,0.0128014630243456,0.0621404350973445,0.0513201508743856
"915",74.3,"Geary","KS",24585,64,12.9,31.8,57.4,9.3,1.5,72.5,17.5,0.9,4.3,7.2,950.9,11.4,5.5,17.6,80.8,16.7,20.7,24.8,6.5,52.9,89.5,0,1,0.195525727069351,0.102826926988001,0.0170835875533862,0.082936750050844,0.0303030303030303,0.0138702460850112,0.0571486678869229,0.0485255236933089
"916",77.9,"Gove","KS",2763,3,10,23.9,51.9,19.9,4.3,99.2,0.1,0,0.1,1.3,713.9,4.7,3.5,NA,NA,NA,NA,NA,1,181,0,1,1,0.167933405718422,0.256967064784654,0.0155627940644227,0.107129931234166,0.0177343467245747,0.0159247195077814,0.0636988780311256,0.0470503076366269
