"","ale","county_name","state_abbr","population_size","population_density","poverty","age_19_under","age_19_64","age_65_84","age_85_and_over","white","black","native_american","asian","hispanic","all_death","health_status","unhealthy_days","no_exercise","few_fruit_veg","obesity","high_blood_pres","smoker","diabetes","prim_care_phys_rate","dentist_rate","community_health_center_ind","hpsa_ind","uninsured","elderly_medicare","disabled_medicare","no_hs_diploma","unemployed","sev_work_disabled","major_depression","recent_drug_use"
"2974",76.4,"Okanogan","WA",39782,8,18.7,25.5,59.2,13.4,2,86,0.4,11.1,0.7,14.1,853.8,16.3,6.2,24,69.1,19.8,22.4,22,7.7,93,50.3,0,1,0.228445025388367,0.14325574380373,0.0281785732240712,0.15381328238902,0.0379820019104117,0.0303906289276557,0.059826051983309,0.0664119451007994
"2975",76.5,"Pacific","WA",21579,23,13.7,20.1,57.5,19.3,3.1,93.3,0.4,2.4,2.1,5.7,891.2,18.1,6.1,22.7,74.3,34.9,39.2,27.4,8,23.2,23.2,0,1,0.157792298067566,0.212938505028037,0.0318828490662218,0.152277677371519,0.0292413920941656,0.0324389452708652,0.0639047221836044,0.0658047175494694
"2976",77.1,"Pend Oreille","WA",12673,9,15,22.6,61.4,14.1,1.8,94.3,0.3,3.3,0.8,2,917.9,16.5,5.3,23.7,86.5,21.3,32.2,23.1,8.8,47.3,31.6,0,0,0.162787027538862,0.143060048922907,0.0391383255740551,0.13114495383887,0.0319577053578474,0.0570504221573424,0.0620216207685631,0.06691391146532
"2977",77,"Pierce","WA",753787,449,10.7,26.7,62.9,8.9,1.4,80.1,7.1,1.5,6.6,6.3,879.8,13.5,6.3,17.7,77.1,23.9,24.7,22.5,7.2,80.3,43.8,0,1,0.119036279479482,0.0958705841305302,0.018998735717119,0.0841418066376841,0.0293504663784332,0.0321350726398837,0.0587911439173135,0.066346328604765
"2978",80.3,"San Juan","WA",15274,87,8.5,16.9,62,18.2,2.9,96.4,0.3,1.1,1.2,2.7,562.4,12,5.8,8.4,NA,10.9,19.3,15.7,5.3,91.7,58.9,1,1,0.115163022129108,0.173104622233861,0.0109336126751342,0.0428833311509755,0.0223255204923399,0.0280869451355244,0.0662563833966217,0.0644886735629174
"2979",78.2,"Skagit","WA",113171,65,11.5,24.8,60.8,12.1,2.4,93.7,0.7,2,2,12.8,794.2,16,6.3,15.2,75.3,23.3,28.2,19,6.6,95.4,49.5,0,1,0.14065440793136,0.136121444539679,0.0181760344964699,0.105884016223237,0.0290710517712135,0.0297956190190066,0.0602804605420116,0.0667662210283553
"2980",77.3,"Skamania","WA",10664,6,10.9,23.9,65.1,9.6,1.4,95.7,0.4,2.1,0.7,4.7,812.5,12.7,5.4,19.8,81.3,19.7,20.2,19.1,4.1,18.8,0,1,0,0.130063765941485,0.0804576144036009,0.0163165791447862,0.095086271567892,0.0359152288072018,0.0272880720180045,0.061046511627907,0.0663915978994749
"2981",78.4,"Snohomish","WA",655944,314,9.4,26.4,64.2,8.2,1.3,85.5,2.2,1.5,7.8,6,806.5,12.3,6.3,17.1,78.8,22.2,23,21.7,5.5,55.5,42.5,0,1,0.118075628407303,0.0862390691888332,0.013860939348481,0.0708505604136938,0.0269840108301928,0.0264367080116595,0.0590218067395997,0.0648073616040394
"2982",77.7,"Spokane","WA",440706,250,12.8,25.2,62.4,10.3,2.2,92,1.7,1.5,2.3,3.2,823.5,13.8,6.3,18.4,76.3,21.4,24.3,22.3,6.5,93.5,52.4,0,1,0.124625033469025,0.117146124627303,0.0226590969943681,0.070818187181477,0.0292235640086588,0.0247443874147391,0.0600105285609908,0.067927371081855
"2983",77.1,"Stevens","WA",42013,17,14.6,25,60.8,12.4,1.9,91.3,0.3,5.6,0.7,2,865.7,18.6,7.1,25.1,74.8,26.6,33.3,27.6,6.9,71.4,23.8,0,1,0.164401494775427,0.124390069740318,0.0262775807488158,0.096303525099374,0.0333468212220027,0.0281103467974198,0.0602432580391783,0.0673363006688406
