"","county_name","state_abbr","population_size","age_19_under","age_19_64","age_65_84","age_85_and_over","white","black","native_american","asian","hispanic","prim_care_phys_rate","major_depression","recent_drug_use","ale","all_death","diabetes","health_status","no_exercise","obesity","poverty","smoker","unhealthy_days","population_density","uninsured","elderly_medicare","disabled_medicare","dentist_rate","no_hs_diploma","unemployed","sev_work_disabled"
"1744","Wheeler","NE",820,25.7,57.2,15.9,1.2,99.8,0,0.2,0,0.6,0,49,31,78.3,893.7,7.81018756895918,17.3167541380702,26.5083862194016,24.1451888489209,12.3,23.1128804587561,6.10639445300462,1,235,127,13,0,50,14,17
"1745","York","NE",14397,24.5,57.9,14.2,3.4,96.7,1.5,0.4,0.8,2.5,69.5,879,554,79.2,737.8,6.1,17,16.8,29,9,18.1,5.1,25,1250,2459,215,48.6,1231,239,261
"1746","Churchill","NV",24556,30,57,11.5,1.5,88,1.6,5,3.2,9.8,81.4,1721,1469,75.5,929.3,5.9,14.1,21.6,20.9,10.4,28,5.7,5,3588,2999,426,28.5,2287,517,568
"1747","Clark","NV",1710551,27.3,62,9.7,1,78.9,10.1,1,7.3,25.6,65.1,123975,103386,75.7,924.7,7,16.7,25.6,21.6,11.4,25.7,6.5,216,233547,156919,25387,20.8,227718,34433,76360
"1748","Douglas","NV",47017,21.3,59.5,17.4,1.8,94.5,0.7,1.5,1.8,8.1,53.2,3696,2898,79.8,679.5,5.3,12.1,15.5,15.6,7.2,22.1,6,66,4964,6130,517,38.3,2842,971,999
"1749","Elko","NV",45570,31.2,61.5,6.6,0.7,91.4,0.9,5.6,1,21.6,52.7,3153,2894,77.7,865.3,5,14.7,25.4,23.2,9.8,26.5,6.3,3,7168,3025,573,28.5,5703,916,1015
"1750","Esmeralda","NV",787,16.3,60.6,21.1,2,93.1,0.1,5.7,0.3,11.7,0,65,49,75.5,923.1,7.81018756895918,17.3167541380702,26.5083862194016,24.1451888489209,11.8,23.1128804587561,6.10639445300462,0,118,141,23,0,127,24,30
"1751","Eureka","NV",1428,25.7,60.1,13.1,1.1,95.8,0.4,1,1.3,12.7,70,106,90,75.7,923.4,7.81018756895918,17.3167541380702,26.5083862194016,24.1451888489209,10.6,23.1128804587561,6.10639445300462,0,242,199,31,0,222,26,30
"1752","Humboldt","NV",17129,30.4,60,8.4,1.2,92.3,0.6,5,0.8,20,40.9,1198,1065,75.7,927.2,5.8,14.3,20.9,22.1,10.4,24.1,6.4,2,2530,1440,257,29.2,2285,303,400
"1753","Lander","NV",5114,30.8,59.6,8.8,0.8,93.9,0.5,4.7,0.4,16.9,58.7,356,326,75.7,1037.6,5,17.3167541380702,21.9,23.4,10.5,19.4,8.3,1,787,434,87,19.6,644,115,130
"1754","Lincoln","NV",4391,26.3,54.6,17,2.1,95.3,2,1.9,0.4,5.8,22.8,326,293,74.5,932.6,10.5,15.6,16.3,26.5,13.5,18.6,5,0,615,744,106,22.8,479,79,134
"1755","Lyon","NV",47515,25.3,60.9,12.5,1.2,92.8,1.2,2.4,1.3,12.4,23.2,3547,2999,75.5,993.1,7.9,15.9,24.7,22.5,9.7,30.1,7.1,24,5474,5794,932,10.5,5828,1065,1498
"1756","Mineral","NV",4910,23.1,56.1,17.8,3,77.4,4.5,16.3,1.1,9.8,40.7,378,311,75.5,1092.6,8.3,23.1,29.3,30.2,14.6,38.8,7.4,1,872,956,176,20.4,778,122,160
"1757","Nye","NV",40477,22.2,56.9,19.3,1.6,93.1,1.7,1.8,1.5,10.9,24.7,3136,2491,74.5,1004.6,9.5,19.6,28.3,27.7,12.4,28,8,2,5414,7184,1167,7.4,5929,848,2012
"1758","Pershing","NV",6360,23.8,67.3,7.8,1.1,89.5,5.8,3,1,19.9,31.4,485,415,75.7,850.1,6,13.2,18.8,29.7,13.3,23.1128804587561,7.1,1,901,471,85,15.7,1024,129,170
"1759","Storey","NV",4074,18,70.6,10.4,1,95.5,0.3,1.3,1.9,6.9,0,332,259,76.2,552,7.81018756895918,17.3167541380702,26.5083862194016,24.1451888489209,5.2,23.1128804587561,6.10639445300462,15,498,148,21,0,401,94,144
"1760","Washoe","NV",389872,26.3,62.4,10.1,1.2,87.8,2.4,2,5.5,19.7,87.7,28706,24161,76.2,898.7,5.6,13.2,18.6,18,10,22.2,6.4,61,48700,39045,6106,42.8,40975,8247,12362
"1761","White Pine","NV",8994,22.1,62.8,13.2,1.9,90.2,4.5,3.5,1.1,11.4,88.9,698,582,75.7,988.8,6.7,17.6,21.5,21.4,13.2,18.5,7.7,1,1213,1307,192,22.2,1107,180,289
"1762","Carson City","NV",56062,24.4,59.9,13.8,1.8,92,2.2,2.1,2.4,18.4,94.5,4224,3414,75.3,994.7,5.8,20,25.9,19.1,10.3,23.5,6.8,391,6904,9467,1129,39.2,6650,1264,1295
"1763","Belknap","NH",61547,21.9,62.8,13.3,2.1,97.6,0.5,0.3,0.8,0.8,55.2,3509,4187,77.8,828.7,6.4,11.5,21,19.8,7.3,22.7,5.9,153,4492,9691,1739,43.9,6229,1054,1775
"1764","Carroll","NH",47439,20.6,60.6,16.3,2.4,98.3,0.3,0.2,0.5,0.8,67.5,2747,3139,78.1,743.3,6.8,11.6,20.5,16.3,7.3,21.8,5.6,51,3925,8039,1163,40.1,4072,833,895
"1765","Cheshire","NH",77287,23.3,62.6,12.1,2,97.7,0.6,0.3,0.7,1,75,4352,5932,78,817,6.5,10.5,17.9,21.3,7.2,23.3,5.4,109,4594,10139,1672,46.6,7048,1343,1396
"1766","Coos","NH",33655,21.2,60.6,15.2,2.9,98.2,0.3,0.3,0.4,0.9,109.9,1936,2252,76.2,901.6,7.3,15.7,28,23.6,9.7,27.9,6,19,3379,6192,1228,29.7,5586,695,897
"1767","Grafton","NH",84708,22.5,63.1,12.3,2.1,95.9,0.7,0.3,2,1.3,279.8,4819,6671,78.7,745.9,5.6,9.5,17.8,20.4,7.2,18.8,4.8,49,7844,11414,1716,54.3,6863,1346,1518
"1768","Hillsborough","NH",401291,26.1,62.9,9.4,1.6,94,1.7,0.2,2.9,4.1,87.7,21708,26965,78.4,772.9,5.8,9.8,21.3,20.5,6.3,21.5,5.3,458,32829,40492,7625,50.6,34784,8559,8087
"1769","Merrimack","NH",146881,24,63.6,10.4,1.9,96.8,0.7,0.3,1.2,1.3,107.6,8167,10391,78.2,784.1,6.2,11.2,19.6,20,6.3,21.2,5.6,157,10264,16743,3129,51.1,11696,2487,3829
"1770","Rockingham","NH",295076,25.3,63.7,9.6,1.5,96.8,0.8,0.2,1.5,1.7,75.6,16126,19323,78.6,757.5,5.8,9.7,20,21.1,4.5,21.5,5.4,425,20311,30222,4961,49.8,19128,7194,6066
"1771","Strafford","NH",119015,24.5,64,9.8,1.7,96,0.9,0.3,1.8,1.3,73.9,6591,9289,78.1,791.7,6.4,12.2,22.5,20.2,8.5,23,5.8,323,9841,12853,2576,42.9,10357,2309,1610
